id,value
countries,
countries.analytics,
countries.analytics.cluster,
countries.analytics.cluster.USA,19362129
countries.analytics.cluster.China,11937562
countries.analytics.cluster.Japan,4884489
countries.analytics.cluster.Germany,3651871
countries.analytics.cluster.Rest of the world,3282583
countries.analytics.cluster.France,2574807
countries.analytics.cluster.UK,2565051
countries.analytics.cluster.India,2439008
countries.analytics.cluster.Brazil,2080916
countries.analytics.cluster.Italy,1921139
countries.analytics.cluster.Canada,1640385
countries.analytics.cluster.South Korea,1529743
countries.analytics.cluster.Russia,1469341
countries.analytics.cluster.Australia,1390150
countries.analytics.cluster.Spain,1307170
countries.analytics.cluster.Mexico,1142453
countries.analytics.cluster.Indonesia,1010937
countries.analytics.cluster.Turkey,841206
countries.analytics.cluster.Netherlands,824480
countries.analytics.cluster.Switzerland,680645
countries.analytics.cluster.Saudi Arabia,678541
countries.analytics.cluster.Argentina,619872
countries.analytics.cluster.Taiwan,571453
countries.analytics.cluster.Sweden,541889
countries.analytics.cluster.Poland,509955
countries.analytics.cluster.Belgium,491672
countries.analytics.cluster.Thailand,437807
countries.analytics.cluster.Iran,427666
countries.analytics.cluster.Austria,409316
countries.analytics.cluster.Egypt,408045
countries.analytics.cluster.Nigeria,394818
countries.analytics.cluster.Norway,392052
countries.analytics.cluster.United Arab Emirates,378656
countries.analytics.cluster.Israel,348006
countries.analytics.cluster.South Africa,344064
countries.analytics.cluster.Hong Kong,334104
countries.analytics.cluster.Ireland,325649
countries.analytics.cluster.Denmark,324146
countries.analytics.cluster.Philippines,321189
countries.analytics.cluster.Malaysia,309,858
countries.analytics.cluster.Colombia,307475
countries.analytics.cluster.Singapore,305757
countries.analytics.cluster.Pakistan,304400
countries.analytics.cluster.Chile,263206
countries.analytics.cluster.Finland,251381
countries.analytics.cluster.Bangladesh,250023
countries.analytics.cluster.Vietnam,215963
countries.analytics.cluster.Venezuela,215307
countries.analytics.cluster.Portugal,211696
countries.analytics.cluster.Peru,210013
countries.analytics.cluster.Czech Republic,209652
countries.analytics.cluster.Romania,204943
countries.analytics.cluster.Greece,204299
countries.analytics.cluster.New Zealand,200837
countries.analytics.cluster.Iraq,192660
countries.analytics.cluster.Algeria,175493
countries.analytics.cluster.Qatar,166346
countries.analytics.cluster.Kazakhstan,156189
countries.analytics.cluster.Hungary,132034
countries.analytics.cluster.Angola,124034
countries.analytics.cluster.Sudan,118979
